Battery_ID,Voltage_V,Current_A,Temperature_C,Charge_Cycles,State_of_Health_%,RUL_Cycles
BAT-005,3.3,1.85,36.8,646,83.75,675.0
BAT-004,3.94,0.77,48.3,806,77.75,561.0
BAT-010,3.99,2.49,22.5,1095,72.58,447.0
BAT-008,3.59,1.55,27.6,340,91.47,852.0
BAT-006,3.46,1.28,43.4,355,92.51,865.0
BAT-006,3.54,1.82,23.0,683,83.79,684.0
BAT-008,3.27,0.72,22.3,674,82.1,623.0
BAT-007,4.07,1.77,30.8,988,73.03,467.0
BAT-010,3.54,1.5,22.8,897,78.63,569.0
BAT-010,4.06,1.31,37.6,491,87.33,737.0
BAT-008,3.13,2.41,26.8,552,86.6,728.0
BAT-002,4.19,1.55,46.9,179,92.53,842.0
BAT-009,3.53,0.94,43.5,646,82.36,652.0
